n,area_number,actual_data,synthetic_cntrl,difference,area_name,date
12,4,.70566797,.83948249,-.13381451,Bath and North East Somerset,08apr2020
83,4,0,.26982376,-.26982376,Bath and North East Somerset,18jun2020
81,4,0,.34490246,-.34490246,Bath and North East Somerset,16jun2020
6,4,1.0766532,1.0190183,.057634957,Bath and North East Somerset,02apr2020
23,4,.53258067,.59083474,-.058254033,Bath and North East Somerset,19apr2020
13,4,.68765444,.82406408,-.13640963,Bath and North East Somerset,09apr2020
45,4,.5796088,.70001101,-.12040223,Bath and North East Somerset,11may2020
39,4,.66038489,.59119123,.069193654,Bath and North East Somerset,05may2020
82,4,0,.31161371,-.31161371,Bath and North East Somerset,17jun2020
20,4,.57910275,.65757573,-.078472964,Bath and North East Somerset,16apr2020
52,4,.62697834,.63850313,-.011524796,Bath and North East Somerset,18may2020
77,4,0,.38219112,-.38219112,Bath and North East Somerset,12jun2020
33,4,.55889249,.65132463,-.092432164,Bath and North East Somerset,29apr2020
69,4,.056724645,.52961934,-.47289467,Bath and North East Somerset,04jun2020
63,4,.31439075,.70810866,-.39371789,Bath and North East Somerset,29may2020
16,4,.65337861,.76700777,-.11362914,Bath and North East Somerset,12apr2020
56,4,.65318477,.58472317,.068461612,Bath and North East Somerset,22may2020
8,4,.89652669,.92869562,-.032168917,Bath and North East Somerset,04apr2020
22,4,.54225707,.60968763,-.067430548,Bath and North East Somerset,18apr2020
36,4,.60986573,.62386894,-.014003243,Bath and North East Somerset,02may2020
34,4,.56869239,.6497851,-.08109273,Bath and North East Somerset,30apr2020
66,4,.1748912,.6398195,-.46492833,Bath and North East Somerset,01jun2020
18,4,.6216464,.71549225,-.093845867,Bath and North East Somerset,14apr2020
70,4,.026340999,.49850857,-.47216758,Bath and North East Somerset,05jun2020
1,4,1.667924,1.4892503,.17867371,Bath and North East Somerset,28mar2020
30,4,.55743307,.60989118,-.052458096,Bath and North East Somerset,26apr2020
73,4,0,.42528626,-.42528626,Bath and North East Somerset,08jun2020
35,4,.58632261,.64002854,-.053705957,Bath and North East Somerset,01may2020
49,4,.55815059,.69374555,-.13559495,Bath and North East Somerset,15may2020
61,4,.41876736,.68531144,-.26654407,Bath and North East Somerset,27may2020
14,4,.67648333,.80719751,-.13071419,Bath and North East Somerset,10apr2020
72,4,.00029308224,.44698998,-.44669691,Bath and North East Somerset,07jun2020
59,4,.53128558,.62895513,-.097669549,Bath and North East Somerset,25may2020
86,4,0,.13156405,-.13156405,Bath and North East Somerset,21jun2020
90,4,0,.027660005,-.027660005,Bath and North East Somerset,25jun2020
19,4,.60157442,.68620878,-.084634334,Bath and North East Somerset,15apr2020
54,4,.65711868,.60015506,.056963604,Bath and North East Somerset,20may2020
79,4,0,.37503216,-.37503216,Bath and North East Somerset,14jun2020
27,4,.54771727,.57026678,-.022549499,Bath and North East Somerset,23apr2020
4,4,1.2954874,1.1604542,.13503331,Bath and North East Somerset,31mar2020
57,4,.62731308,.59088707,.036425989,Bath and North East Somerset,23may2020
28,4,.55623662,.57913429,-.022897676,Bath and North East Somerset,24apr2020
68,4,.092194624,.56470883,-.47251418,Bath and North East Somerset,03jun2020
47,4,.55652595,.71167785,-.15515189,Bath and North East Somerset,13may2020
53,4,.64613903,.61820561,.0279334,Bath and North East Somerset,19may2020
87,4,0,.090379007,-.090379007,Bath and North East Somerset,22jun2020
50,4,.57412773,.67778593,-.10365818,Bath and North East Somerset,16may2020
44,4,.60071999,.6819483,-.081228316,Bath and North East Somerset,10may2020
58,4,.58384472,.60593665,-.022091947,Bath and North East Somerset,24may2020
11,4,.73458654,.85532534,-.12073877,Bath and North East Somerset,07apr2020
2,4,1.5400994,1.364213,.17588645,Bath and North East Somerset,29mar2020
10,4,.77538419,.87402105,-.098636895,Bath and North East Somerset,06apr2020
40,4,.66333854,.59882867,.064509861,Bath and North East Somerset,06may2020
38,4,.65011358,.59372991,.056383643,Bath and North East Somerset,04may2020
46,4,.56487614,.71017134,-.14529523,Bath and North East Somerset,12may2020
55,4,.66062355,.58794755,.07267601,Bath and North East Somerset,21may2020
25,4,.52931172,.56772077,-.038409039,Bath and North East Somerset,21apr2020
80,4,0,.3652367,-.3652367,Bath and North East Somerset,15jun2020
88,4,0,.06005099,-.06005099,Bath and North East Somerset,23jun2020
9,4,.82866472,.89781243,-.069147728,Bath and North East Somerset,05apr2020
60,4,.47522682,.65735286,-.18212606,Bath and North East Somerset,26may2020
17,5,.86500162,.86847442,-.0034728283,Bedford,13apr2020
47,5,.88792175,.83896536,.04895642,Bedford,13may2020
1,5,1.5287983,1.4207197,.1080786,Bedford,28mar2020
90,5,0,.023717061,-.023717061,Bedford,25jun2020
24,5,.75964075,.77746844,-.017827686,Bedford,20apr2020
72,5,.83715922,.72168422,.11547498,Bedford,07jun2020
54,5,.8679927,.79534608,.072646596,Bedford,20may2020
43,5,1.046634,.93431669,.11231729,Bedford,09may2020
42,5,1.0798827,.94818747,.13169526,Bedford,08may2020
16,5,.86589247,.87986982,-.01397737,Bedford,12apr2020
55,5,.89256012,.79969883,.092861272,Bedford,21may2020
18,5,.86105978,.85349447,.0075653275,Bedford,14apr2020
82,5,.15294088,.40395933,-.25101843,Bedford,17jun2020
20,5,.83775634,.81955326,.018203059,Bedford,16apr2020
12,5,.89080322,.88743156,.0033716734,Bedford,08apr2020
40,5,1.1072198,.94832122,.15889858,Bedford,06may2020
68,5,1.0324875,.83110648,.20138103,Bedford,03jun2020
4,5,1.2276342,1.095992,.13164219,Bedford,31mar2020
44,5,1.0065863,.91362727,.092959046,Bedford,10may2020
